Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
0.000000,0.000000,224.057572,-0.000000,-0.000000,-10514.933495
0.010000,12.839451,88.114136,-256.713054,-3595.122381,-8431.819317
0.020000,15.875056,-11.930787,-735.454323,-4027.062534,-4737.515651
0.030000,12.618632,-60.734354,-1139.963667,-2645.625785,-1344.523750
0.040000,6.948861,-67.060883,-1337.274756,-747.383532,852.430671
0.050000,1.685629,-49.009487,-1323.289566,817.600968,1758.472325
0.060000,-1.862885,-25.051116,-1162.569545,1721.434943,1806.193146
0.070000,-3.503968,-3.895817,-934.807643,1985.998092,1344.357019
0.080000,-3.653998,9.302610,-705.557765,1801.757239,757.839183
0.090000,-2.993259,13.913134,-513.287870,1411.265474,306.067195
0.100000,-2.184497,11.484560,-369.003339,1024.352374,138.791083
0.110000,-1.697481,5.223922,-263.219937,772.464315,262.251248
0.120000,-1.699788,-0.997149,-176.975803,686.912201,549.818464
0.130000,-2.076334,-4.469336,-93.104675,716.004760,834.836873
0.140000,-2.572344,-4.644978,-3.188639,774.891803,1005.755192
0.150000,-2.967063,-2.853290,91.899789,798.219076,1050.977713
0.160000,-3.194521,-1.336978,186.560325,771.795842,1053.891798
0.170000,-3.347726,-1.591932,276.606360,727.711290,1116.059430
0.180000,-3.536827,-2.727881,362.195444,698.852511,1232.595409
0.190000,-3.713331,-2.148077,444.606888,669.392322,1265.269389
0.200000,-3.675740,1.214621,520.287219,582.434904,1096.519209
0.210000,-3.293552,5.007366,579.960116,408.105612,793.299400
0.220000,-2.691863,5.850058,615.445202,192.113726,556.386485
0.230000,-2.162793,3.092832,627.230491,21.607383,514.027902
0.240000,-1.909272,-0.784743,624.565683,-51.784006,617.333041
0.250000,-1.899807,-2.885119,618.345627,-48.403537,719.172326
0.260000,-1.924893,-1.929552,613.654253,-36.186486,689.010816
0.270000,-1.744689,1.548617,607.036607,-83.630050,471.578327
0.280000,-1.241464,5.366057,589.234240,-216.795168,130.210328
0.290000,-0.530678,6.474184,552.135655,-392.932198,-153.057461
0.300000,0.084560,3.544151,496.166590,-521.534674,-214.374082
0.310000,0.365271,-0.923761,431.469074,-541.050519,-91.495172
0.320000,0.376257,-2.627338,369.925680,-482.802674,-8.624321
0.330000,0.422967,-0.125046,315.016239,-441.906329,-135.988460
0.340000,0.730959,3.645053,260.177593,-479.465164,-411.035481
0.350000,1.225600,4.770292,197.232920,-564.913030,-624.767528
0.360000,1.620690,2.076512,125.773734,-611.980589,-626.123774
0.370000,1.661418,-2.721997,55.064220,-553.489526,-410.532118
0.380000,1.288214,-6.902842,-1.415143,-385.048934,-86.315731
0.390000,0.669151,-8.011759,-33.871317,-166.873849,174.694804
0.400000,0.128470,-4.946160,-42.387267,3.846185,212.212493
0.410000,-0.040587,0.623437,-37.940853,50.116899,6.939501
0.420000,0.197585,4.666414,-35.930976,-23.344658,-263.156947
0.430000,0.571524,4.153006,-45.470302,-125.986960,-364.470908
0.440000,0.726985,-0.032720,-63.265357,-154.830277,-219.896184
0.450000,0.510536,-4.311393,-77.575086,-75.585648,53.500528
0.460000,0.029773,-6.140203,-77.704376,68.772369,299.880388
0.470000,-0.512112,-5.682779,-60.012980,213.646655,458.736310
0.480000,-0.980313,-4.350281,-27.130477,321.224418,551.339366
0.490000,-1.339226,-3.130447,15.914969,385.852772,612.444664
0.500000,-1.614958,-2.497884,64.664825,419.822623,673.358411
0.510000,-1.865659,-2.687145,116.672674,443.025146,764.744604
0.520000,-2.142425,-3.321039,171.715864,471.011694,886.077183
0.530000,-2.432385,-3.360281,230.278554,499.437060,984.269334
0.540000,-2.644308,-2.026520,290.883718,502.408727,992.277999
0.550000,-2.667151,0.440177,348.593171,451.552181,884.337937
0.560000,-2.440735,3.164476,396.077046,336.143516,681.613690
0.570000,-1.975649,5.404829,426.101512,166.593313,422.661755
0.580000,-1.335700,6.714646,433.626165,-32.916073,149.892942
0.590000,-0.618844,6.822390,416.994234,-231.340916,-91.226297
0.600000,0.068763,5.842471,378.272855,-398.901750,-270.759747
0.610000,0.653259,4.389634,322.393859,-518.371615,-393.182795
0.620000,1.113579,3.068190,255.275535,-589.349190,-480.187385
0.630000,1.457713,1.969760,182.267288,-619.581085,-539.074010
0.640000,1.693347,0.971571,107.813243,-615.817286,-566.892653
0.650000,1.834965,0.266660,35.525609,-586.015038,-577.718083
0.660000,1.919352,0.122053,-32.275231,-543.530371,-596.491611
0.670000,1.984733,0.321623,-94.886535,-500.533453,-625.875692
0.680000,2.044567,0.500910,-152.555862,-460.814336,-653.217698
0.690000,2.114135,0.970586,-205.877679,-428.362710,-698.146999
0.700000,2.252184,2.368368,-256.632917,-419.022202,-810.178520
0.710000,2.520152,4.237180,-308.629165,-447.416463,-988.284561
0.720000,2.876233,4.827956,-365.669450,-497.200372,-1136.207301
0.730000,3.153693,3.006991,-427.332421,-518.775501,-1144.869690
0.740000,3.189740,-0.177545,-487.290160,-469.631804,-1009.150136
0.750000,2.966604,-2.542130,-536.852821,-353.128526,-825.898575
0.760000,2.606785,-2.977689,-570.442733,-211.592715,-688.388906
0.770000,2.256402,-1.974538,-587.967638,-88.953030,-622.484496
0.780000,1.996723,-0.559484,-593.212704,-5.804207,-606.954143
0.790000,1.820346,0.239339,-590.679368,44.575522,-590.765289
0.800000,1.627030,-0.630648,-582.425351,94.316268,-490.738163
0.810000,1.268675,-3.254419,-565.841277,185.238927,-253.260308
0.820000,0.688432,-5.647918,-534.897694,328.368061,47.452624
0.830000,0.032874,-5.224729,-485.915822,476.053563,240.830568
0.840000,-0.446079,-1.953451,-422.953960,556.777552,241.219832
0.850000,-0.632843,1.257779,-356.175913,546.028824,146.866618
0.860000,-0.639578,2.035900,-294.284667,486.157946,107.151791
0.870000,-0.639525,1.100863,-239.560468,431.418028,146.451190
0.880000,-0.686001,0.452580,-190.115108,395.915523,188.648561
0.890000,-0.739372,0.456276,-144.434160,366.245722,203.192081
0.900000,-0.785806,0.272754,-102.253505,337.995428,224.773851
0.910000,-0.833304,0.093825,-63.235443,313.226577,247.025398
0.920000,-0.833577,0.915143,-27.696489,277.769621,207.004803
0.930000,-0.714119,2.436056,1.783823,212.451981,94.570265
0.940000,-0.487325,3.142920,21.796274,124.401198,-15.003791
0.950000,-0.244878,2.625294,31.366699,42.096814,-71.747203
0.960000,-0.037494,2.091769,32.270162,-21.022102,-115.534682
0.970000,0.162176,2.212952,26.289814,-74.942602,-187.164328
0.980000,0.363154,2.072051,14.143706,-123.090043,-246.732860
0.990000,0.503098,0.915836,-2.510886,-148.418606,-238.103556
1.000000,0.525836,-0.527164,-19.949579,-137.801213,-176.816853
1.010000,0.442368,-1.450038,-34.171782,-98.538644,-104.602767
1.020000,0.265051,-2.482746,-42.270165,-37.245123,3.865219
1.030000,-0.061139,-4.536966,-40.906372,59.247922,209.745222
1.040000,-0.589229,-6.864564,-25.006549,201.775320,495.592094
1.050000,-1.251981,-7.609879,9.729481,365.864804,751.718099
1.060000,-1.875508,-6.110796,62.693157,499.959241,888.913688
1.070000,-2.314199,-3.549314,127.648040,566.611668,914.222922
1.080000,-2.528592,-1.208567,196.036691,562.540818,875.084398
1.090000,-2.525741,0.996675,260.007448,497.714881,770.218891
1.100000,-2.277440,3.780650,312.298883,370.933092,556.903968
1.110000,-1.746997,6.805809,345.178756,178.920371,238.883516
1.120000,-0.989919,8.500483,352.010197,-55.034426,-91.369622
1.130000,-0.179016,7.779392,331.004367,-277.299502,-325.118141
1.140000,0.508147,5.498063,286.851602,-439.295663,-443.392512
1.150000,1.017159,3.566329,227.674008,-532.821669,-518.112045
1.160000,1.400169,2.646891,160.372192,-580.422980,-598.290969
1.170000,1.677685,1.504468,89.552800,-592.858324,-633.100420
1.180000,1.766500,-1.062102,20.500151,-550.450273,-538.506641
1.190000,1.565011,-4.493657,-38.641481,-430.861850,-306.983630
1.200000,1.068056,-7.266682,-78.791202,-241.625746,-8.579506
1.210000,0.375200,-8.496122,-93.731229,-18.828730,281.689209
1.220000,-0.358724,-7.849884,-82.421448,190.038714,496.485164
1.230000,-0.942494,-4.947170,-49.844126,332.592306,554.238241
1.240000,-1.197151,-0.406005,-6.851664,365.996917,424.563234
1.250000,-1.089161,3.276811,33.184560,293.563712,214.031541
1.260000,-0.791288,3.921261,61.071257,176.315064,83.257127
1.270000,-0.518445,2.523157,75.818226,79.715416,57.532261
1.280000,-0.316846,1.874246,81.071834,13.982011,21.074258
1.290000,-0.106147,2.394706,78.928747,-47.084760,-72.962392
1.300000,0.098601,1.763571,69.793896,-99.374083,-110.694790
1.310000,0.150954,-0.893276,57.173523,-102.459808,-2.186740
1.320000,-0.013704,-3.184678,48.211453,-44.100382,161.696795
1.330000,-0.267338,-3.059053,47.874450,32.327083,241.554773
1.340000,-0.459038,-1.744431,55.252910,82.458378,244.507144
1.350000,-0.582765,-1.317929,66.913081,107.916435,266.217422
1.360000,-0.698626,-1.501590,81.207527,128.380123,313.911808
1.370000,-0.797138,-1.049539,97.611627,141.529876,325.988352
1.380000,-0.848219,-0.502878,114.659729,139.805996,317.826650
1.390000,-0.899245,-1.022762,131.335098,138.438504,359.857493
1.400000,-1.003964,-1.809851,148.791699,152.397593,432.546357
1.410000,-1.111773,-1.339695,168.100929,165.431028,447.339305
1.420000,-1.142003,-0.212805,187.588842,155.012149,405.440689
1.430000,-1.116669,-0.084808,204.723215,130.277360,392.036198
1.440000,-1.099951,-0.505686,219.129232,110.856200,407.530835
1.450000,-1.054740,0.273546,231.029014,85.392980,357.363121
1.460000,-0.901100,1.753161,238.199554,32.130496,238.238276
1.470000,-0.692459,1.583029,238.069375,-30.331679,178.429365
1.480000,-0.578756,-0.335483,232.307761,-58.681070,232.727514
1.490000,-0.583114,-1.278696,225.653507,-50.719391,280.823922
1.500000,-0.560778,0.040975,219.796632,-51.563088,213.656641
1.510000,-0.414774,1.565571,211.627633,-87.195383,95.407511
1.520000,-0.217725,1.404015,198.212825,-132.895330,39.286119
1.530000,-0.065559,0.603203,180.335970,-160.668172,28.264968
1.540000,0.066910,0.865558,159.853766,-179.926628,-26.113111
1.550000,0.250396,1.776506,136.371037,-211.489798,-128.120332
1.560000,0.481165,2.105934,108.354757,-252.704167,-218.738161
1.570000,0.716855,2.030022,75.513320,-290.569838,-292.050154
1.580000,0.953479,2.219021,38.410538,-324.454326,-378.236516
1.590000,1.192089,2.258250,-2.594252,-355.032417,-458.240332
1.600000,1.400185,1.782856,-46.599025,-373.456614,-504.107176
1.610000,1.576638,1.721493,-92.052086,-380.939234,-559.125406
1.620000,1.772701,2.411239,-138.592087,-393.218239,-656.331528
1.630000,1.950840,1.759826,-186.434323,-398.817696,-684.944477
1.640000,1.889466,-2.331535,-231.149200,-335.690678,-472.330571
1.650000,1.358123,-8.330789,-260.512833,-146.924210,-13.555282
1.660000,0.386143,-12.104888,-260.148427,144.305526,487.127558
1.670000,-0.727146,-11.485406,-223.541907,441.685583,827.542907
1.680000,-1.665562,-8.027740,-156.005520,655.674027,975.165499
1.690000,-2.293943,-4.355817,-69.863993,758.046927,1008.581424
1.700000,-2.631314,-1.565318,22.429032,766.965114,986.274279
1.710000,-2.732507,0.567497,111.345603,708.406644,916.585729
1.720000,-2.628521,2.460724,189.891509,598.664936,790.547451
1.730000,-2.325713,4.365451,252.436009,445.277836,598.642270
1.740000,-1.834571,6.052462,294.192592,256.178693,355.193680
1.750000,-1.223808,6.561175,312.205345,54.937036,128.259687
1.760000,-0.634174,5.233814,307.544310,-117.292214,-4.339148
1.770000,-0.182278,3.141670,285.787190,-231.103914,-54.198683
1.780000,0.156552,2.352550,253.436380,-300.402084,-127.060068
1.790000,0.515020,3.402377,213.198141,-367.704079,-292.797534
1.800000,0.962223,4.489243,163.732562,-452.399555,-490.043613
1.810000,1.407511,3.728159,104.399732,-526.653051,-599.982069
1.820000,1.703600,1.479016,39.118428,-550.198298,-590.342165
1.830000,1.819052,-0.128059,-25.446135,-520.269344,-550.867353
1.840000,1.883239,0.497297,-85.331838,-479.639868,-599.742663
1.850000,2.073948,3.005863,-142.621764,-479.562607,-780.084679
1.860000,2.470447,5.577895,-203.651326,-537.482694,-1032.793453
1.870000,2.987617,6.280652,-273.758151,-622.527087,-1238.420033
1.880000,3.418074,4.213432,-352.391002,-673.031320,-1285.225016
1.890000,3.542721,-0.048211,-431.563171,-631.253251,-1127.124034
1.900000,3.244619,-4.805374,-498.425661,-474.959900,-805.149386
1.910000,2.565390,-8.178142,-540.466784,-229.150253,-421.890048
1.920000,1.673297,-9.165926,-550.451293,48.462138,-80.819172
1.930000,0.761424,-8.191859,-528.360363,299.933102,173.440641
1.940000,-0.052399,-6.572926,-479.508642,495.228247,363.678888
1.950000,-0.742644,-5.198299,-410.855519,633.648849,523.590830
1.960000,-1.308823,-3.853971,-328.798121,721.445155,643.411951
1.970000,-1.723532,-2.109638,-239.481553,756.541137,694.128127
1.980000,-1.966560,-0.410648,-149.305204,739.273257,690.184740
1.990000,-2.073667,0.488049,-63.666427,685.766665,679.231145
2.000000,-2.098755,0.862039,14.364272,615.262360,666.495328
2.010000,-2.040835,1.668450,83.008000,529.242623,606.726974
2.020000,-1.865146,2.869721,139.869411,419.674367,490.035103
2.030000,-1.592948,3.356790,182.481498,295.403036,375.588057
2.040000,-1.308564,2.735453,210.645451,181.923800,310.045304
2.050000,-1.075236,1.788198,226.861234,95.709655,277.662437
2.060000,-0.915538,0.757104,234.659941,40.001376,274.392627
2.070000,-0.882826,-1.181395,238.318894,26.528769,356.526264
2.080000,-1.053056,-3.853578,244.023336,71.893602,541.094233
2.090000,-1.391421,-5.149895,258.150796,159.275427,717.173278
2.100000,-1.704574,-3.548069,282.194654,229.177557,748.479212
2.110000,-1.798106,-0.324194,310.427324,229.004401,630.006966
2.120000,-1.637303,2.192152,333.900142,157.290748,459.844244
2.130000,-1.308759,3.380135,345.994005,46.633709,296.406040
2.140000,-0.901011,3.780791,344.006134,-73.702805,144.011757
2.150000,-0.499652,3.112592,328.347984,-178.452343,44.440405
2.160000,-0.221370,1.010095,302.839025,-236.427935,53.702448
2.170000,-0.129498,-1.123646,274.155362,-235.306063,126.833816
2.180000,-0.143726,-1.468541,247.825533,-204.707858,151.222979
2.190000,-0.143741,-0.703215,224.878166,-181.755747,118.336713
2.200000,-0.147241,-1.184129,204.371097,-160.198759,144.767733
2.210000,-0.275710,-3.186723,188.310721,-105.597867,284.135904
2.220000,-0.548748,-4.376630,181.187374,-16.562826,433.324263
2.230000,-0.832068,-3.450889,184.674470,64.945949,486.150547
2.240000,-1.012961,-1.941876,195.612806,108.275368,476.945591
2.250000,-1.115445,-1.487252,209.846670,124.786809,490.860010
2.260000,-1.192860,-1.376624,225.436327,132.421801,512.560186
