Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
0.000000,0.000000,-16.797013,-0.000000,-0.000000,788.277187
0.010000,-0.982379,-7.007781,19.537708,275.176130,657.624007
0.020000,-1.245815,0.486125,56.719018,317.025552,392.942398
0.030000,-1.026009,4.395230,89.239642,218.563011,134.907099
0.040000,-0.602134,5.143956,106.387280,74.253050,-42.342933
0.050000,-0.190098,3.940116,107.108314,-50.078777,-123.156903
0.060000,0.087922,1.894174,96.068705,-122.445213,-119.006324
0.070000,0.215784,0.339913,79.660598,-144.395899,-87.442314
0.080000,0.240611,-0.504747,62.761914,-134.945077,-54.750760
0.090000,0.215384,-0.754590,47.939022,-112.554301,-33.429803
0.100000,0.182191,-0.594203,35.858270,-90.515484,-28.942657
0.110000,0.167035,-0.238285,25.970951,-76.081400,-39.888490
0.120000,0.176709,0.077219,17.254224,-70.266775,-57.409373
0.130000,0.201783,0.208609,8.881069,-69.415932,-71.552436
0.140000,0.227753,0.175483,0.557646,-68.883538,-78.355254
0.150000,0.245469,0.082369,-7.567799,-66.073043,-79.658708
0.160000,0.253947,0.018823,-15.204521,-60.979639,-79.344498
0.170000,0.258145,0.034871,-22.176026,-55.267529,-81.426048
0.180000,0.264523,0.118145,-28.531830,-50.825204,-87.481175
0.190000,0.274355,0.169506,-34.455345,-47.851257,-93.270660
0.200000,0.280420,0.093605,-39.997298,-44.128791,-91.891184
0.210000,0.274189,-0.058078,-44.909041,-37.347760,-82.903662
0.220000,0.256790,-0.126144,-48.838046,-28.198962,-74.175225
0.230000,0.238638,-0.048201,-51.695271,-19.896095,-72.122117
0.240000,0.227932,0.075926,-53.742218,-14.637460,-74.789365
0.250000,0.224126,0.142721,-55.330479,-11.907368,-77.113274
0.260000,0.222226,0.144626,-56.656218,-10.011508,-77.051335
0.270000,0.216752,0.082151,-57.713907,-7.311752,-72.787223
0.280000,0.200887,-0.068972,-58.292671,-1.973550,-60.901157
0.290000,0.170539,-0.232367,-58.006667,6.844901,-43.616293
0.300000,0.133275,-0.230901,-56.569789,16.587221,-31.787830
0.310000,0.105484,-0.028641,-54.169362,22.524116,-32.581598
0.320000,0.094541,0.155680,-51.406717,23.044302,-38.173389
0.330000,0.089021,0.109214,-48.722422,22.016260,-34.719984
0.340000,0.071983,-0.105946,-45.972790,24.377896,-19.459981
0.350000,0.039012,-0.274585,-42.657648,30.954013,-1.032043
0.360000,-0.001897,-0.311679,-38.431395,39.000631,13.882335
0.370000,-0.041857,-0.271918,-33.298571,45.855622,24.875824
0.380000,-0.074889,-0.177633,-27.506205,49.972772,31.009311
0.390000,-0.095745,-0.028165,-21.459006,50.182528,30.513867
0.400000,-0.104041,0.077396,-15.622503,46.834814,27.931576
0.410000,-0.108791,0.028029,-10.253797,42.891015,31.504656
0.420000,-0.119763,-0.098844,-5.229500,41.158428,40.867045
0.430000,-0.134148,-0.102800,-0.316778,40.561154,45.657102
0.440000,-0.138994,0.064238,4.385230,37.312993,39.276740
0.450000,-0.127056,0.242652,8.417811,29.698880,26.802551
0.460000,-0.104105,0.290380,11.368078,19.863351,16.848329
0.470000,-0.081619,0.207598,13.193463,11.292193,13.247657
0.480000,-0.069702,0.029273,14.226386,6.684151,17.724744
0.490000,-0.076582,-0.229906,15.066878,7.907599,32.317836
0.500000,-0.105318,-0.476137,16.445758,15.149508,53.618930
0.510000,-0.147129,-0.545309,18.911705,25.226942,70.962736
0.520000,-0.184432,-0.394622,22.472922,32.856563,76.451344
0.530000,-0.204875,-0.173690,26.602811,34.859605,72.994220
0.540000,-0.209417,-0.040737,30.655971,32.169121,68.369885
0.550000,-0.205735,-0.004792,34.239894,27.480468,65.592596
0.560000,-0.198525,0.009129,37.226773,22.330659,62.719932
0.570000,-0.187268,0.052981,39.563702,16.616812,57.136019
0.580000,-0.167668,0.163528,41.114803,9.185538,45.673498
0.590000,-0.133098,0.358160,41.568131,-1.638765,25.299493
0.600000,-0.080182,0.556088,40.464641,-16.410022,-1.318344
0.610000,-0.016159,0.605743,37.463644,-32.616022,-24.638793
0.620000,0.043084,0.455265,32.682685,-45.608031,-36.920448
0.630000,0.084387,0.208442,26.741742,-52.057751,-38.660634
0.640000,0.103740,-0.025795,20.471576,-51.593491,-33.671566
0.650000,0.102692,-0.222511,14.629806,-45.437379,-23.676868
0.660000,0.086240,-0.337761,9.776576,-35.648675,-12.434163
0.670000,0.066345,-0.271527,6.122212,-26.025795,-8.648590
0.680000,0.058730,-0.033224,3.360609,-20.979621,-17.128747
0.690000,0.069563,0.183600,0.829460,-21.698442,-30.825047
0.700000,0.089419,0.212942,-1.979636,-24.845918,-38.761397
0.710000,0.104950,0.112512,-5.088690,-26.396289,-39.170252
0.720000,0.112847,0.049599,-8.228548,-25.625474,-38.805209
0.730000,0.119378,0.089782,-11.239719,-24.573757,-42.853526
0.740000,0.131909,0.199858,-14.230044,-25.342595,-52.221525
0.750000,0.155044,0.345811,-17.494919,-29.018368,-66.845178
0.760000,0.188575,0.455675,-21.371473,-35.201082,-83.265054
0.770000,0.222527,0.389559,-25.985589,-40.772571,-91.570273
0.780000,0.239323,0.107821,-30.955291,-40.841533,-84.026119
0.790000,0.228831,-0.200492,-35.442146,-33.207232,-66.143679
0.800000,0.198982,-0.314936,-38.681947,-21.012662,-50.955081
0.810000,0.165508,-0.257383,-40.448790,-9.203688,-42.709552
0.820000,0.134455,-0.218644,-40.928300,0.591861,-34.459138
0.830000,0.101421,-0.266065,-40.279149,9.852807,-21.548787
0.840000,0.064466,-0.294181,-38.508232,19.168377,-8.265973
0.850000,0.028866,-0.236500,-35.693774,27.033910,0.512331
0.860000,-0.000257,-0.149806,-32.102277,32.179273,5.752973
0.870000,-0.022429,-0.085728,-28.058451,34.787125,9.740391
0.880000,-0.038902,-0.037341,-23.825100,35.495723,12.584177
0.890000,-0.051747,-0.023776,-19.582471,35.106487,15.885577
0.900000,-0.065410,-0.075865,-15.378996,35.002075,22.585096
0.910000,-0.082054,-0.120529,-11.130740,35.746960,29.974103
0.920000,-0.094936,-0.032793,-6.843099,35.323854,29.926143
0.930000,-0.093670,0.161162,-2.841522,30.942383,20.199277
0.940000,-0.077921,0.273961,0.388482,22.987857,9.491961
0.950000,-0.059969,0.197460,2.647788,15.343043,6.999127
0.960000,-0.051739,0.030859,4.204985,11.316865,12.045661
0.970000,-0.054212,-0.075107,5.512457,10.751236,17.861422
0.980000,-0.060753,-0.084776,6.846705,11.379156,20.533065
0.990000,-0.065389,-0.045129,8.226030,11.390754,20.261301
1.000000,-0.066053,-0.002934,9.535175,10.280632,18.551839
1.010000,-0.064671,-0.003636,10.674668,8.726763,18.187725
1.020000,-0.065920,-0.066057,11.676153,8.099960,21.617393
1.030000,-0.071550,-0.113880,12.689214,8.775645,25.838965
1.040000,-0.075194,-0.041363,13.763281,8.794987,23.752953
1.050000,-0.068317,0.110082,14.661793,5.833237,14.449044
1.060000,-0.052664,0.160486,15.048881,0.750466,6.971341
1.070000,-0.040810,0.032354,14.900189,-2.657334,9.170259
1.080000,-0.041723,-0.134020,14.592010,-2.075086,17.451057
1.090000,-0.050840,-0.169549,14.521076,0.730995,22.329381
1.100000,-0.056490,-0.065933,14.727933,2.219187,19.501096
1.110000,-0.050765,0.086845,14.904474,0.324985,10.551357
1.120000,-0.032394,0.220954,14.633675,-4.915472,-1.745489
1.130000,-0.006577,0.259853,13.618695,-11.645637,-12.045080
1.140000,0.013422,0.104303,11.915396,-15.941931,-11.249437
1.150000,0.011830,-0.212695,10.091315,-13.640353,4.353638
1.160000,-0.014225,-0.449939,8.985612,-4.717993,24.372965
1.170000,-0.047316,-0.385985,9.067510,5.127267,32.556928
1.180000,-0.063933,-0.081876,10.003563,9.176320,23.908713
1.190000,-0.055553,0.193937,10.938015,5.728008,8.210539
1.200000,-0.032960,0.257857,11.188243,-1.300233,-2.276059
1.210000,-0.013403,0.131630,10.666898,-6.645975,-2.787342
1.220000,-0.007869,-0.063394,9.784503,-7.423874,4.643272
1.230000,-0.016775,-0.202780,9.086129,-4.053559,14.290547
1.240000,-0.030658,-0.185785,8.885720,0.311714,18.240389
1.250000,-0.035414,-0.003917,9.040732,1.583434,11.373709
1.260000,-0.023197,0.202048,9.034849,-2.075738,-2.310307
1.270000,-0.000641,0.246057,8.399638,-8.207427,-11.837108
1.280000,0.015810,0.079796,7.146398,-11.889425,-9.428980
1.290000,0.013631,-0.170304,5.801265,-9.890709,3.154671
1.300000,-0.006445,-0.329205,5.022874,-3.089450,17.425964
1.310000,-0.031803,-0.296050,5.141930,4.399021,24.411195
1.320000,-0.046635,-0.093765,5.944830,8.045576,19.900033
1.330000,-0.042707,0.133807,6.823176,5.988815,7.912632
1.340000,-0.025577,0.217394,7.204560,0.468503,-1.718352
1.350000,-0.009027,0.128133,6.943128,-4.235011,-3.013707
1.360000,-0.001076,0.014447,6.302180,-5.979372,-0.265458
1.370000,0.002911,0.021588,5.556526,-6.429776,-1.859581
1.380000,0.012639,0.135826,4.673508,-8.465200,-10.407208
1.390000,0.032972,0.263969,3.369563,-13.261219,-23.155830
1.400000,0.063400,0.367934,1.335308,-20.355268,-38.137818
1.410000,0.100502,0.420710,-1.631617,-28.519013,-52.936377
1.420000,0.135455,0.337157,-5.506321,-35.130233,-60.605248
1.430000,0.155376,0.105541,-9.881127,-36.731707,-56.297075
1.440000,0.156024,-0.085348,-14.080542,-32.726551,-47.480932
1.450000,0.150325,-0.035232,-17.671831,-27.425666,-47.908292
1.460000,0.155471,0.177295,-20.834477,-25.806741,-59.644167
1.470000,0.172174,0.269647,-24.045634,-27.606505,-69.642407
1.480000,0.184104,0.116733,-27.415959,-27.815275,-66.550093
1.490000,0.177066,-0.131369,-30.481844,-22.638072,-52.668591
1.500000,0.151178,-0.294872,-32.605883,-12.747486,-36.497881
1.510000,0.115243,-0.340810,-33.409562,-1.163438,-22.545651
1.520000,0.079085,-0.282134,-32.881991,9.156549,-13.487455
1.530000,0.053365,-0.097874,-31.356162,15.346621,-13.858217
1.540000,0.046908,0.154719,-29.468978,15.396625,-23.895599
1.550000,0.057913,0.303912,-27.910943,10.536977,-34.904774
1.560000,0.073027,0.253866,-27.010508,5.102480,-37.897596
1.570000,0.079993,0.111083,-26.591751,2.593868,-33.774221
1.580000,0.078076,0.033266,-26.283816,2.861130,-29.708304
1.590000,0.073695,0.041889,-25.886071,3.777608,-28.870777
1.600000,0.070470,0.058260,-25.404324,4.263329,-28.781875
1.610000,0.066699,0.032827,-24.864703,4.855147,-26.543330
1.620000,0.058539,-0.038462,-24.185999,6.624186,-20.679382
1.630000,0.042498,-0.143778,-23.169499,10.420096,-10.579924
1.640000,0.018089,-0.230642,-21.568223,16.141458,1.447675
1.650000,-0.009583,-0.227710,-19.245071,22.120046,10.342725
1.660000,-0.033127,-0.147543,-16.307407,26.245505,14.225709
1.670000,-0.050084,-0.084129,-13.025276,28.050371,16.699189
1.680000,-0.062841,-0.062885,-9.621815,28.474109,19.769170
1.690000,-0.070818,-0.000953,-6.249610,27.495072,19.359572
1.700000,-0.069137,0.125959,-3.151892,23.892863,12.703415
1.710000,-0.057623,0.202755,-0.648004,17.934882,5.154364
1.720000,-0.044689,0.146215,1.134471,12.272278,3.439330
1.730000,-0.038179,0.037855,2.385300,9.068295,6.349290
1.740000,-0.037657,-0.013893,3.392819,7.904166,8.632946
1.750000,-0.039477,-0.029732,4.317719,7.525415,10.029650
1.760000,-0.043488,-0.068009,5.236074,7.810221,13.222337
1.770000,-0.050028,-0.094566,6.234890,8.773555,16.718225
1.780000,-0.056433,-0.075201,7.348219,9.581773,18.017409
1.790000,-0.062497,-0.087906,8.541549,10.207602,20.713129
1.800000,-0.073858,-0.191068,9.886931,12.270365,29.434386
1.810000,-0.093213,-0.277401,11.614179,16.349609,40.043040
1.820000,-0.113376,-0.229132,13.840628,20.172027,44.599885
1.830000,-0.126837,-0.135432,16.385585,21.665443,44.782223
1.840000,-0.137624,-0.164772,19.030472,22.256686,49.858912
1.850000,-0.154600,-0.281621,21.840618,24.539359,61.133791
1.860000,-0.176307,-0.299241,25.012507,27.879609,69.347533
1.870000,-0.192539,-0.186176,28.485456,29.276349,69.605829
1.880000,-0.199452,-0.101216,31.942884,27.892817,68.086317
1.890000,-0.202512,-0.110952,35.158593,25.594894,69.756481
1.900000,-0.203566,-0.085869,38.084796,22.984917,69.158051
1.910000,-0.194992,0.067993,40.563421,17.934105,59.328155
1.920000,-0.170027,0.257646,42.179558,8.828526,42.374940
1.930000,-0.131665,0.355904,42.507427,-3.007929,25.281044
1.940000,-0.088507,0.351927,41.392599,-14.840612,11.435008
1.950000,-0.048254,0.278648,38.980852,-24.504723,1.855853
1.960000,-0.017584,0.135050,35.638334,-30.363027,-1.195333
1.970000,-0.001196,-0.036754,31.887688,-31.528813,1.850895
1.980000,0.003383,-0.124996,28.233322,-29.248219,4.895675
1.990000,0.005088,-0.089952,24.909078,-26.435493,3.069017
2.000000,0.009767,-0.031898,21.851748,-24.781929,-0.879327
2.010000,0.015104,-0.042344,18.956956,-23.488016,-1.870470
2.020000,0.017081,-0.083222,16.263628,-21.387852,-0.343485
2.030000,0.016700,-0.079958,13.857422,-18.867507,-0.135397
