Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
0.840000,0.573888,0.107149,212.376542,-384.543041,-166.899767
0.850000,0.562038,-2.312640,168.762988,-337.374488,-45.931001
0.860000,0.417469,-2.799111,133.213897,-258.454598,28.079879
0.870000,0.280067,-1.917731,106.679692,-190.699773,34.779593
0.880000,0.249611,-0.138883,86.005149,-160.888439,-37.012636
0.890000,0.371591,1.762594,65.942833,-177.420205,-165.920033
0.900000,0.589453,2.326814,42.034501,-218.870382,-264.266604
0.910000,0.764539,1.079844,13.904237,-243.265924,-263.314292
0.920000,0.819154,-0.292029,-14.820738,-230.925582,-216.320835
0.930000,0.829443,0.052673,-41.059819,-207.773026,-235.377920
0.940000,0.919160,1.594565,-65.929941,-209.818191,-337.555627
0.950000,1.097120,2.336854,-92.779194,-236.356667,-431.949632
0.960000,1.263756,1.637434,-122.674788,-256.451896,-454.997659
0.970000,1.350333,0.682786,-153.436820,-251.663217,-439.436690
0.980000,1.376501,0.377482,-182.456036,-230.494311,-434.421859
0.990000,1.372828,0.215947,-208.522285,-203.325985,-426.514209
1.000000,1.319780,-0.456731,-230.712503,-165.221486,-378.436801
1.010000,1.200159,-1.085519,-247.382045,-112.665804,-310.497708
1.020000,1.079113,-0.430160,-257.870161,-65.863637,-302.729350
1.030000,1.086198,1.817642,-265.130467,-60.728877,-412.880125
1.040000,1.298444,4.301018,-275.504855,-114.028435,-602.819603
1.050000,1.643746,5.042165,-294.624580,-198.499106,-755.336110
1.060000,1.934553,3.307748,-322.728288,-257.637709,-773.167996
1.070000,2.010104,0.319096,-353.821908,-249.209243,-660.029893
1.080000,1.848453,-1.997678,-379.540937,-174.995095,-499.323598
1.090000,1.552466,-2.644042,-394.148524,-71.591345,-372.604107
1.100000,1.259293,-1.798658,-396.867518,19.079725,-317.425729
1.110000,1.063763,-0.270882,-390.997207,71.868294,-327.372025
1.120000,0.965525,0.600109,-381.039287,91.381837,-339.213213
1.130000,0.845805,-0.522038,-368.820719,115.079166,-250.280232
1.140000,0.554290,-3.164176,-351.052656,184.765726,-32.470040
1.150000,0.096973,-4.456392,-322.155635,293.063731,177.342760
1.160000,-0.297752,-2.142525,-281.533494,370.859023,196.737662
1.170000,-0.391876,2.096627,-237.247645,354.810498,25.188634
1.180000,-0.203592,4.278208,-200.252484,261.330085,-143.806472
1.190000,0.028639,3.093078,-175.187713,166.596065,-168.693043
1.200000,0.136183,1.142086,-158.687897,117.832950,-115.205526
1.210000,0.167142,0.895884,-146.013300,95.870839,-115.700961
1.220000,0.238227,1.781504,-136.355910,64.887781,-182.514499
1.230000,0.368197,2.176970,-131.353358,20.894385,-245.782498
1.240000,0.508290,1.961143,-131.611152,-20.875745,-283.480525
1.250000,0.625044,1.571282,-136.196179,-51.317137,-304.990080
1.260000,0.677586,0.534264,-143.165595,-60.110314,-274.517306
1.270000,0.607275,-1.136900,-149.003523,-33.178965,-173.169422
1.280000,0.443037,-1.669207,-149.895812,16.984781,-94.002445
1.290000,0.342073,0.128241,-145.872381,43.250365,-145.591469
1.300000,0.415161,2.304985,-141.980741,17.432381,-273.311077
1.310000,0.554637,1.904169,-142.652926,-23.738227,-302.101217
1.320000,0.550647,-0.774720,-145.756751,-19.437336,-175.748592
1.330000,0.370389,-2.263023,-144.965722,33.849121,-46.312980
1.340000,0.220262,-0.406301,-138.129896,72.051270,-84.191895
1.350000,0.308976,3.045968,-131.047681,38.354964,-277.002673
1.360000,0.618208,4.755081,-132.081530,-53.380898,-461.569074
1.370000,0.930047,3.316234,-144.069167,-134.944947,-498.820001
1.380000,1.027222,-0.024866,-161.698691,-146.467782,-374.648865
1.390000,0.845224,-3.038821,-175.500607,-78.066525,-172.483212
1.400000,0.481839,-4.183166,-177.955221,33.403531,2.210094
1.410000,0.107140,-3.294919,-167.257162,135.115124,84.757638
1.420000,-0.149542,-1.441748,-147.040754,191.903504,82.148694
1.430000,-0.271207,-0.130148,-122.947617,204.309640,59.697759
1.440000,-0.346938,-0.319656,-98.536532,202.617975,92.501113
1.450000,-0.498856,-1.861367,-73.154031,222.810962,214.510846
1.460000,-0.792032,-3.644689,-42.953052,280.562657,395.283278
1.470000,-1.190613,-4.467727,-4.134218,361.317994,566.270631
1.480000,-1.603936,-4.193917,44.279036,436.901738,690.684386
1.490000,-1.987249,-3.920962,100.703710,495.471025,805.173670
1.500000,-2.378989,-4.506509,163.771911,549.924938,963.005341
1.510000,-2.817438,-5.254783,233.834906,611.396597,1144.410022
1.520000,-3.254204,-4.923188,311.018701,665.242546,1274.893498
1.530000,-3.599973,-3.667037,392.811666,687.180192,1331.945327
1.540000,-3.827657,-2.662731,474.914886,673.382212,1361.898801
1.550000,-3.958252,-1.964238,553.661276,633.814396,1374.478280
1.560000,-3.962376,-0.467989,625.789644,562.923093,1308.136861
1.570000,-3.773165,1.745411,686.526866,445.422702,1144.359588
1.580000,-3.409479,2.997074,730.658396,292.185176,968.367515
1.590000,-2.985864,2.688986,756.122158,139.636958,846.580976
1.600000,-2.562255,2.472553,764.362397,4.314201,721.375108
1.610000,-2.076596,3.576764,756.401824,-133.423111,514.056697
1.620000,-1.480814,4.728688,730.872214,-286.628111,268.145358
1.630000,-0.860440,4.179883,687.279230,-429.147190,94.246624
1.640000,-0.353968,2.255497,629.401244,-523.210719,23.242287
1.650000,-0.021333,0.352394,564.040443,-557.640508,9.276410
1.660000,0.154199,-1.064984,497.711089,-543.970921,24.605003
1.670000,0.222152,-1.749372,434.991684,-501.637155,40.817382
1.680000,0.299870,-0.581413,377.178994,-467.140012,-33.996186
1.690000,0.556444,2.546821,320.330280,-487.263493,-261.407940
1.700000,1.039809,5.025288,256.954964,-568.897666,-534.686495
