Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
0.840000,-0.298366,1.244995,125.694307,-36.184534,35.888725
0.850000,-0.161826,1.018558,119.113763,-70.565980,2.173949
0.860000,-0.038503,0.893061,108.902230,-97.351402,-31.763877
0.870000,0.075037,0.795698,95.842657,-118.353797,-63.724894
0.880000,0.168031,0.486533,80.743116,-131.152322,-78.897467
0.890000,0.220866,-0.029224,64.888244,-131.148040,-71.018084
0.900000,0.227458,-0.479506,49.882187,-118.119654,-50.885533
0.910000,0.202808,-0.654683,36.960279,-97.802762,-33.412109
0.920000,0.169381,-0.583127,26.533494,-77.347807,-24.799382
0.930000,0.141433,-0.426166,18.331289,-60.761130,-22.223925
0.940000,0.119153,-0.351488,11.884967,-47.630968,-17.839259
0.950000,0.090842,-0.467757,6.998630,-34.251276,-2.596038
0.960000,0.042779,-0.723846,3.959208,-16.793019,25.711766
0.970000,-0.024956,-0.873288,3.268735,4.218030,55.487553
0.980000,-0.090795,-0.673809,4.978251,22.260378,68.146027
0.990000,-0.124898,-0.157265,8.204418,29.265030,55.230308
1.000000,-0.112983,0.374259,11.388613,22.506282,26.204736
1.010000,-0.066560,0.633527,13.135421,6.832454,-1.532484
1.020000,-0.011140,0.575136,12.893049,-9.551019,-17.282442
1.030000,0.033302,0.365900,10.972507,-20.963114,-22.204250
1.040000,0.063771,0.231431,8.028247,-27.159451,-25.922799
1.050000,0.094191,0.338132,4.424578,-32.682021,-40.943013
1.060000,0.145834,0.695783,-0.147813,-43.602262,-74.851577
1.070000,0.229834,1.081053,-6.539983,-62.410072,-120.876630
1.080000,0.330929,1.130306,-15.428244,-83.850353,-156.821146
1.090000,0.409745,0.648640,-26.427613,-96.495849,-160.368343
1.100000,0.429123,-0.148526,-37.831679,-90.905288,-129.251564
1.110000,0.382821,-0.790830,-47.385375,-67.460841,-83.546693
1.120000,0.297444,-0.987472,-53.504453,-35.728860,-45.874595
1.130000,0.206595,-0.848413,-55.881123,-6.097438,-22.327844
