Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
0.000000,0.000000,134.372481,-0.000000,-0.000000,-6306.047550
0.010000,7.770712,54.274909,-154.997927,-2176.215523,-5147.541133
0.020000,9.705522,-5.972498,-446.508558,-2465.148153,-2958.501202
0.030000,7.804415,-36.351074,-695.891076,-1645.433469,-888.715077
0.040000,4.362131,-41.173281,-820.283455,-488.355794,491.323851
0.050000,1.105331,-30.667617,-814.667308,483.068145,1083.328789
0.060000,-1.114236,-15.791315,-717.356720,1051.627484,1118.562394
0.070000,-2.116602,-1.961031,-578.067535,1213.048126,793.757931
0.080000,-2.132409,6.938037,-439.280827,1079.003409,370.762403
0.090000,-1.601367,10.121045,-326.532981,806.942968,34.966390
0.100000,-0.947629,8.969450,-247.481849,531.770463,-136.099132
0.110000,-0.459788,5.485046,-196.897076,334.833467,-140.096801
0.120000,-0.266094,1.513787,-163.294221,243.122507,-21.376994
0.130000,-0.345518,-1.348162,-134.892967,238.548436,137.448565
0.140000,-0.572418,-2.310517,-103.995266,275.720545,256.771818
0.150000,-0.817350,-2.038784,-68.349206,313.554067,324.325339
0.160000,-1.041494,-1.954075,-28.826669,341.274740,393.852422
0.170000,-1.286474,-2.611893,14.092970,371.849360,505.436807
0.180000,-1.579892,-3.272419,61.361170,412.606420,633.606079
0.190000,-1.880357,-3.096402,113.519860,450.587349,725.103935
0.200000,-2.115026,-2.120185,168.924958,465.582931,757.307699
0.210000,-2.241574,-0.965702,224.102987,448.369322,745.374771
0.220000,-2.271390,-0.242534,275.516146,405.900894,721.872748
0.230000,-2.260485,-0.352566,321.259091,356.886342,724.491155
0.240000,-2.278042,-1.205485,361.864377,321.548276,772.121859
0.250000,-2.348635,-1.928836,399.472218,305.118392,831.924949
0.260000,-2.413749,-1.510505,435.326859,288.797730,836.690937
0.270000,-2.377944,-0.024610,467.691188,245.692075,757.935140
0.280000,-2.207462,1.291516,492.711600,169.526924,642.523978
0.290000,-1.965470,1.433233,507.627241,82.013860,558.839954
0.300000,-1.743272,0.661596,512.858101,10.123541,525.149421
0.310000,-1.575772,-0.028978,510.971944,-38.240348,506.299116
0.320000,-1.428892,-0.003024,504.114633,-75.447047,460.881173
0.330000,-1.246920,0.652609,492.517808,-118.441916,374.227214
0.340000,-1.001682,1.411035,474.923703,-174.419186,261.622244
0.350000,-0.712866,1.699672,450.123916,-236.264219,156.538164
0.360000,-0.433186,1.310214,418.376878,-288.421073,86.359907
0.370000,-0.207983,0.581982,381.658648,-319.263754,50.230715
0.380000,-0.045947,0.009225,342.619676,-328.835558,27.718914
0.390000,0.070919,-0.262073,303.361438,-324.637261,5.830731
0.400000,0.163989,-0.302782,265.039711,-314.236416,-19.324237
0.410000,0.257968,-0.012750,227.923467,-305.313918,-60.733028
0.420000,0.385738,0.679759,191.259850,-306.981143,-132.745966
0.430000,0.566036,1.418965,153.450383,-323.261055,-224.878343
0.440000,0.780073,1.718624,113.101956,-347.123833,-307.957017
0.450000,0.985334,1.493502,70.115687,-365.715963,-363.734737
0.460000,1.141078,0.871475,25.849736,-368.173160,-384.621959
0.470000,1.210491,-0.151978,-17.203119,-345.944067,-358.168578
0.480000,1.170949,-1.282829,-55.790129,-295.494431,-290.704395
0.490000,1.054405,-1.652305,-87.153397,-229.168093,-233.789013
0.500000,0.946797,-0.874279,-110.994041,-173.045031,-234.314629
0.510000,0.899245,-0.005232,-129.573291,-140.200190,-259.686060
0.520000,0.857600,-0.380577,-144.763249,-112.516684,-228.941618
0.530000,0.729186,-1.708135,-155.410716,-63.345202,-124.719301
0.540000,0.506661,-2.435813,-158.687775,6.689378,-17.467793
0.550000,0.276744,-1.866874,-153.693215,70.669986,31.055155
0.560000,0.120540,-0.709677,-142.705341,106.543416,27.054133
0.570000,0.060681,0.363448,-129.426239,111.221943,-5.303315
0.580000,0.091423,1.308790,-117.284869,89.857902,-61.875502
0.590000,0.187450,1.793262,-108.821719,52.586618,-118.443774
0.600000,0.279452,1.216030,-104.677208,20.841503,-123.568939
0.610000,0.295634,0.035085,-102.843615,14.153392,-74.782903
0.620000,0.248829,-0.358320,-100.485777,25.837031,-41.819539
0.630000,0.222683,0.372606,-96.991186,30.186345,-68.564840
0.640000,0.254984,0.984478,-94.087614,17.592539,-109.263682
0.650000,0.297993,0.689512,-92.956028,3.558270,-110.888539
0.660000,0.313614,0.326268,-92.924061,-1.160053,-100.055928
0.670000,0.336648,0.745860,-93.427294,-7.567146,-128.414956
0.680000,0.407938,1.391548,-95.494518,-26.886845,-183.501807
0.690000,0.507115,1.433698,-100.356403,-51.778070,-219.513383
0.700000,0.592068,1.090750,-107.840247,-69.780239,-232.606120
