Time (s),Sprung Accel (m/s^2),Unsprung Accel (m/s^2), Spring Force (N), Damper Force (N), Tire force(N)
0.000000,0.000000,-31.909189,-0.000000,-0.000000,1497.485653
0.010000,-1.871872,-13.427178,37.199020,524.362531,1256.551789
0.020000,-2.387135,0.713960,108.267814,607.872696,763.148124
0.030000,-1.971513,8.479508,170.775729,420.678265,257.656573
0.040000,-1.126133,10.489751,203.339801,134.500057,-120.109494
0.050000,-0.267769,8.446011,202.633951,-122.303221,-310.313869
0.060000,0.339571,4.415171,177.125119,-278.996289,-322.045150
0.070000,0.639766,1.116898,139.607881,-331.537727,-264.865873
0.080000,0.714334,-0.813479,100.478542,-314.778755,-196.478523
0.090000,0.659277,-1.700085,65.769448,-263.552559,-134.142007
0.100000,0.541549,-1.987372,38.084622,-200.549315,-79.524979
0.110000,0.413475,-1.691016,17.802649,-141.845188,-49.393924
0.120000,0.326732,-0.846662,3.493172,-101.512823,-59.282067
0.130000,0.304707,-0.020443,-7.440961,-83.971167,-90.302516
0.140000,0.319288,0.184719,-17.166422,-78.619844,-104.608000
0.150000,0.324218,-0.102003,-26.197505,-71.067975,-92.709713
0.160000,0.305939,-0.285268,-33.937318,-57.844253,-78.014330
0.170000,0.282555,-0.177000,-40.041765,-44.724711,-75.423784
0.180000,0.266104,-0.058296,-44.788975,-35.042162,-75.757350
0.190000,0.254497,-0.004629,-48.541985,-27.807001,-74.744487
0.200000,0.253867,0.212687,-51.649929,-24.510122,-85.150393
0.210000,0.276358,0.538799,-54.788143,-28.119346,-108.440200
0.220000,0.312195,0.569474,-58.628244,-35.030348,-122.336647
0.230000,0.330916,0.207073,-63.006064,-36.268775,-112.051710
0.240000,0.317028,-0.152884,-66.931331,-28.177069,-90.995075
0.250000,0.282506,-0.255805,-69.523739,-15.228206,-75.163942
0.260000,0.239715,-0.303444,-70.493066,-1.421411,-59.237618
0.270000,0.187453,-0.425434,-69.742101,13.506115,-36.719235
0.280000,0.134173,-0.326615,-67.247277,26.995420,-24.280465
0.290000,0.110949,0.219529,-63.697607,30.412970,-42.931176
0.300000,0.142320,0.893089,-60.732303,18.036227,-85.812725
0.310000,0.215506,1.181267,-59.991727,-4.660068,-124.509945
0.320000,0.292105,0.979145,-61.962282,-25.669339,-141.217141
0.330000,0.343440,0.591326,-65.880396,-37.151654,-140.664798
0.340000,0.367709,0.339977,-70.581994,-39.730695,-137.433434
0.350000,0.382320,0.359026,-75.354698,-39.341177,-143.684297
0.360000,0.406185,0.560070,-80.222056,-41.633396,-161.612562
0.370000,0.439812,0.626727,-85.550276,-46.393189,-176.526182
0.380000,0.456407,0.251261,-91.183291,-45.738851,-165.006071
0.390000,0.421714,-0.466266,-95.868800,-30.645287,-120.310239
0.400000,0.328165,-1.050739,-97.755733,-0.693625,-62.265065
0.410000,0.201740,-1.196962,-95.584422,35.062402,-13.935108
0.420000,0.073689,-1.058043,-89.292173,67.185588,21.416157
0.430000,-0.042534,-0.896339,-79.578033,92.338116,51.652932
0.440000,-0.144129,-0.729065,-67.282977,110.521715,76.710210
0.450000,-0.225037,-0.472043,-53.290139,120.801323,90.663986
0.460000,-0.278431,-0.171229,-38.624664,122.153951,93.437694
0.470000,-0.303426,0.092044,-24.325505,115.353231,88.599777
0.480000,-0.302417,0.321281,-11.270330,101.995512,76.821380
0.490000,-0.279132,0.495062,-0.136597,83.876064,60.373315
0.500000,-0.241865,0.544712,8.676131,63.883252,45.259455
0.510000,-0.198704,0.535315,15.113668,44.497506,31.118786
0.520000,-0.147953,0.620484,19.239267,25.146549,10.148313
0.530000,-0.085495,0.729738,20.969386,4.679137,-15.743207
0.540000,-0.022888,0.597720,20.342342,-13.475904,-30.249918
0.550000,0.017674,0.219357,18.021882,-23.323968,-25.737567
0.560000,0.030801,-0.052570,15.104701,-24.345113,-17.014890
0.570000,0.034179,-0.026659,12.299346,-22.553001,-19.031167
0.580000,0.040728,0.037394,9.644631,-21.863113,-23.934605
0.590000,0.040131,-0.140066,7.156182,-19.195520,-15.139218
0.600000,0.016822,-0.444455,5.360308,-10.406836,7.179288
0.610000,-0.027460,-0.607723,4.963111,3.274946,29.835247
0.620000,-0.078229,-0.583955,6.262382,17.206303,45.814867
0.630000,-0.123179,-0.463662,9.047503,27.906160,55.261766
0.640000,-0.154954,-0.283448,12.813483,33.672812,57.460523
0.650000,-0.172025,-0.133799,16.959646,34.647882,56.178031
0.660000,-0.184260,-0.172515,21.097124,34.180903,62.149450
